"ID","구분","카테고리","요구사항_명칭","상세_내용","우선순위","비고"
"REQ-042","기능","OCR","재촬영 유도 처리","흔들림/반사/텍스트 부족 등 인식 불량 시 재촬영 안내 메시지를 반환해야 한다.","High","재촬영 가이드 포함"
"REQ-043","기능","OCR","촬영 가이드 UX 지원","프론트는 가이드 박스 오버레이, 좋은/나쁜 예 안내, 촬영 전 팝업을 제공해야 한다.","Medium","모바일 카메라 UX"
"REQ-044","기능","OCR","구조화 결과 스키마 저장","OCR 결과를 환자/날짜/약품/용량/복용횟수/복용일수 중심 JSON 스키마로 저장해야 한다.","High","처방 이력 활용"
"REQ-045","기능","OCR","사용자 결과 출력","화면에 복약 시작 요약 문구와 알림 설정 제안을 출력해야 한다.","Medium","리마인더 연계"
"REQ-046","기능","프로필","건강 프로필 입력","사용자는 키/몸무게/병력/수면/생활습관/영양 상태를 입력할 수 있어야 한다.","High","설문 UI"
"REQ-047","기능","프로필","입력 데이터 구조화","시스템은 사용자 입력을 사전 정의한 입력 스키마 객체로 구조화해 저장해야 한다.","High","JSON 스키마 검증"
"REQ-048","기능","OCR","신뢰도 임계값 검증","OCR/파싱 결과에 대해 필드별 신뢰도 임계값을 적용하고 미달 시 수정 플로우로 전환해야 한다.","High","중요도: 약물명 > 용량 > 횟수 > 일자"
"REQ-049","기능","OCR","사용자 확인/수정 단계","OCR 정제 결과를 사용자에게 보여주고 확인 또는 직접 수정 후 확정할 수 있어야 한다.","High","Human-in-the-loop"
"REQ-050","기능","가이드","개인 컨텍스트 결합","`[프로필 입력] + [OCR 처방 정보] + [RAG 지식]`을 병합해 가이드 생성 컨텍스트를 구성해야 한다.","High","개인화 핵심"
"REQ-051","기능","알림","약 소진 D-day 알림","조제일/총 처방일/복용량 기반 약 소진일 계산 후 소진 7일 전부터 D-day 알림을 제공해야 한다.","High","7일 전 시작"
"REQ-052","기능","분석","생활패턴 지표 분석","운동/디지털 사용/카페인/흡연/음주/수면/영양 입력을 건강 지표로 분석해야 한다.","High","위험도 계산"
"REQ-053","기능","분석","위험 징후 플래그","알코올 위험, 과도한 졸림, 영양위험 등 위험 플래그를 자동 산출해야 한다.","High","경고문구 포함"
"REQ-054","기능","분석","약물 알러지 경고","사용자 약물 알러지 정보와 처방 약물을 대조해 충돌 시 경고를 제공해야 한다.","High","즉시 진료 안내"
"REQ-055","기능","가이드","출력 포맷 표준화","최종 가이드는 `복약안내/생활습관/주의사항` 3개 섹션 구조를 유지해야 한다.","High","UI 일관성"
"REQ-056","기능","LLM","구조화 출력 강제","LLM 응답은 정의된 JSON 스키마를 따르도록 강제하고 파싱 가능해야 한다.","High","JSON 모드/스키마 강제"
"REQ-057","기능","LLM","역할/제약 프롬프트","시스템 프롬프트에 역할/안전제약/의료진 상담 고지 규칙을 포함해야 한다.","Medium","정책 버전 관리"
"REQ-058","기능","챗봇","하이브리드 검색","시스템은 의학 질의 검색 시 Dense 벡터 검색과 키워드 검색(BM25 등)을 결합해 근거 문서를 회수해야 한다.","High","의미+단어 일치 보정"
"REQ-059","기능","챗봇","출처 표기 응답","챗봇 답변은 근거 문서가 존재하는 경우 해당 문서의 제목/출처/링크를 하단에 표시해야 한다.","Medium","신뢰도 향상"
"REQ-060","기능","챗봇","저유사도 재질문 유도","검색 유사도가 임계값 미만이면 확정 답변 대신 사용자에게 질문 구체화를 요청해야 한다.","High","무리한 생성 방지"
"REQ-061","기능","챗봇","자동 세션 종료","입력/출력이 없는 비활성 세션은 10~30분 설정값 경과 시 CLOSED 상태로 자동 종료해야 한다.","Medium","리소스 회수"
"REQ-101","비기능","성능","핵심 응답 지연","챗봇 첫 토큰(TTFT)은 P95 3초 이내를 목표로 한다.","High","평가 기준 반영"
"REQ-102","비기능","성능","비동기 요청 즉시 응답","OCR/가이드 작업 생성 API는 1초 이내 `202 Accepted`를 반환해야 한다.","High","무거운 처리 금지"
"REQ-103","비기능","안정성","비동기 상태 일관성","Job 상태 전이는 `QUEUED -> PROCESSING -> SUCCEEDED/FAILED`만 허용한다.","High","불가능 전이 차단"
"REQ-104","비기능","보안","인증/암호화","비밀번호는 단방향 해시로 저장하고 인증은 JWT 기반으로 처리해야 한다.","High","평문 저장 금지"
"REQ-105","비기능","보안","쿠키 보안 옵션","운영환경 refresh token 쿠키는 HttpOnly+Secure 옵션을 사용해야 한다.","High","SameSite 정책 명시"
"REQ-106","비기능","품질","프롬프트/모델 버전 고정","챗봇/가이드 품질 편차를 줄이기 위해 prompt/model/파라미터 버전을 관리해야 한다.","High","재현성 확보"
"REQ-107","비기능","모니터링","추적 가능한 로그","API/워커 로그에 request_id/job_id/user_id를 남겨 장애 추적이 가능해야 한다.","High","개인정보 마스킹"
"REQ-108","비기능","테스트","자동 검증","CI에서 테스트/린트/타입체크가 모두 통과해야 배포 가능하다.","High","pytest/ruff/mypy"
"REQ-109","비기능","배포","배포 완료 시점","프로젝트 종료 1주 전(2026-03-13)까지 스테이징/운영 배포가 완료되어야 한다.","High","평가 일정 준수"
"REQ-110","비기능","확장성","구조 확장성","OCR/가이드/챗봇 모델 교체 시 API 계약 변경 없이 워커 레이어에서 교체 가능해야 한다.","Medium","추후 고도화 대비"
"REQ-111","비기능","데이터","저장 포맷 표준화","문서, OCR 결과, 가이드, 채팅 데이터는 UTF-8과 JSON 스키마를 일관 사용해야 한다.","Medium","한글 깨짐 방지"
"REQ-112","비기능","가용성","장애 복구","장애 발생 시 30분 이내 롤백 또는 임시복구 절차를 수행할 수 있어야 한다.","Medium","운영 체크리스트 필요"
"REQ-113","비기능","프라이버시","학습 데이터 재사용 금지","사용자 채팅 로그와 업로드 이미지는 모델 학습 데이터로 재사용하지 않아야 한다.","High","동의 기반 정책 별도"
"REQ-114","비기능","보안","전송 구간 암호화","운영환경 사용자 트래픽은 HTTPS(TLS)로 암호화되어야 한다.","High","인증서 갱신 자동화"
"REQ-115","비기능","확장성","벡터 DB 무중단 갱신","의학 지식 문서 추가/수정 시 서비스 중단 없이 인덱스를 갱신할 수 있어야 한다.","Medium","Blue/Green 권장"
"REQ-117","비기능","성능","비동기 논블로킹 처리","챗봇 스트리밍 API는 이벤트 루프 블로킹을 최소화해야 한다.","High","워커 오프로딩 병행"
"REQ-118","비기능","안전성","가드레일 정책 감사성","위급 질의 차단 이벤트는 감사 가능한 형태로 기록/모니터링되어야 한다.","High","정책 위반 탐지"
"REQ-119","비기능","사용성","모바일 촬영 최적화","OCR 입력 UI는 모바일 반응형과 카메라 촬영 UX를 우선 설계해야 한다.","High","스마트폰 주 시나리오"
"REQ-120","비기능","성능","OCR 처리 지연 기준","이미지 업로드 후 OCR 추출/파싱/결과 출력까지 권장 5초 이내를 목표로 한다.","High","로딩 스피너 필수"
"REQ-121","비기능","데이터","합성 데이터 우선 활용","모델 학습/테스트는 실제 환자 데이터 대신 합성 데이터 우선 정책을 따른다.","High","개인정보 이슈 완화"
"REQ-122","비기능","품질","필드별 신뢰도 정책","OCR 필드별 최소 신뢰도와 재질문/수정 정책을 운영 설정으로 관리해야 한다.","High","필드 중요도 반영"
"REQ-123","비기능","데이터","스키마 유효성 강제","입력/출력 JSON은 스키마 검증 실패 시 저장/전송을 차단해야 한다.","High","데이터 무결성"
"REQ-124","비기능","안정성","외부 API 장애 대응","OCR/LLM 외부 API 타임아웃, 재시도, 오류코드 표준화를 제공해야 한다.","High","운영 알림 연계"
"REQ-125","비기능","설명가능성","근거 추적성","가이드/경고 생성 시 사용된 입력 필드와 근거 출처를 추적 가능해야 한다.","Medium","감사/검증 용도"
"REQ-126","비기능","정확성","약 소진 계산 정확성","소진일 계산 로직은 조제일/복용주기/복용개수 반영 오차 없이 동작해야 한다.","High","D-day 신뢰도"
"REQ-127","비기능","프라이버시","OCR 원본 이미지 즉시 폐기","OCR/파싱 완료 후 원본 업로드 이미지는 즉시 삭제하고 DB/클라우드 스토리지에 파일 형태로 보관하지 않아야 한다.","High","데이터 최소화/비용 절감"
